Participant,organised_TP,organised_TA,unorganised_TP,unorganised_TA
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,2,7,5,9
10,2,11,3,11
11,2,5,6,10
12,5,7,4,13
13,3,4,7,10
14,3,9,18,7
15,2,3,4,6
16,2,6,3,6
17,2,5,28,13
18,5,3,5,3
19,3,4,6,6
20,3,12,4,10
21,5,28,23,9
22,6,25,21,64
23,2,4,6,10
24,3,6,2,20
25,3,4,2,6
26,4,7,3,10
27,4,3,7,9
28,3,5,5,11
29,7,9,11,11
30,2,84,6,52
31,4,5,6,11
32,4,8,3,35
33,3,6,3,9
34,2,4,3,8
35,3,4,3,16
36,2,5,4,24
37,6,9,8,5
38,2,8,11,7
39,2,4,2,8
40,2,6,2,16
41,2,3,4,8
42,2,4,4,7
43,2,16,13,17
44,2,4,6,8
45,5,28,9,9
46,2,10,12,12
47,6,11,2,5
48,2,4,3,6
49,2,7,3,7
50,2,11,2,15
51,3,3,3,13
